date,mortgage_approvals
2015-01-01,60.8
2015-02-01,61.2
2015-03-01,62.5
2015-04-01,67.8
2015-05-01,64.5
2015-06-01,66.2
2015-07-01,68.8
2015-08-01,70.5
2015-09-01,68.2
2015-10-01,69.5
2015-11-01,70.2
2015-12-01,71.8
2016-01-01,73.5
2016-02-01,72.8
2016-03-01,73.2
2016-04-01,66.5
2016-05-01,67.2
2016-06-01,64.8
2016-07-01,60.5
2016-08-01,60.2
2016-09-01,62.5
2016-10-01,67.8
2016-11-01,67.2
2016-12-01,68.5
2017-01-01,69.2
2017-02-01,68.5
2017-03-01,66.8
2017-04-01,65.5
2017-05-01,65.2
2017-06-01,65.8
2017-07-01,67.5
2017-08-01,66.2
2017-09-01,66.5
2017-10-01,65.8
2017-11-01,65.5
2017-12-01,61.8
2018-01-01,62.5
2018-02-01,63.8
2018-03-01,62.8
2018-04-01,62.5
2018-05-01,64.2
2018-06-01,65.8
2018-07-01,65.2
2018-08-01,66.5
2018-09-01,65.5
2018-10-01,67.2
2018-11-01,63.8
2018-12-01,63.5
2019-01-01,66.8
2019-02-01,64.5
2019-03-01,65.8
2019-04-01,66.2
2019-05-01,65.5
2019-06-01,66.8
2019-07-01,67.2
2019-08-01,65.5
2019-09-01,65.8
2019-10-01,64.8
2019-11-01,65.2
2019-12-01,67.8
2020-01-01,70.5
2020-02-01,73.5
2020-03-01,56.2
2020-04-01,15.8
2020-05-01,9.3
2020-06-01,40.2
2020-07-01,66.5
2020-08-01,84.5
2020-09-01,91.2
2020-10-01,97.5
2020-11-01,104.8
2020-12-01,103.2
2021-01-01,99.5
2021-02-01,87.8
2021-03-01,82.5
2021-04-01,86.8
2021-05-01,87.5
2021-06-01,82.2
2021-07-01,75.8
2021-08-01,74.2
2021-09-01,72.5
2021-10-01,67.8
2021-11-01,68.5
2021-12-01,71.2
2022-01-01,73.8
2022-02-01,71.2
2022-03-01,69.5
2022-04-01,66.2
2022-05-01,65.8
2022-06-01,63.5
2022-07-01,63.8
2022-08-01,74.2
2022-09-01,66.5
2022-10-01,58.5
2022-11-01,46.2
2022-12-01,35.5
2023-01-01,39.5
2023-02-01,43.5
2023-03-01,51.8
2023-04-01,48.8
2023-05-01,50.5
2023-06-01,54.8
2023-07-01,49.5
2023-08-01,45.4
2023-09-01,43.7
2023-10-01,47.4
2023-11-01,50.1
2023-12-01,50.5
2024-01-01,55.2
2024-02-01,56.1
2024-03-01,61.3
2024-04-01,61.0
2024-05-01,60.0
2024-06-01,59.8
2024-07-01,62.0
2024-08-01,64.9
2024-09-01,65.6
2024-10-01,68.3
2024-11-01,65.7
2024-12-01,66.5
