date,retail_sales_index
2015-01-01,97.2
2015-02-01,97.8
2015-03-01,98.3
2015-04-01,98.0
2015-05-01,99.1
2015-06-01,98.5
2015-07-01,99.0
2015-08-01,99.3
2015-09-01,99.1
2015-10-01,100.2
2015-11-01,101.5
2015-12-01,103.2
2016-01-01,99.5
2016-02-01,100.1
2016-03-01,100.6
2016-04-01,100.3
2016-05-01,101.2
2016-06-01,100.8
2016-07-01,101.5
2016-08-01,102.0
2016-09-01,101.7
2016-10-01,102.8
2016-11-01,104.1
2016-12-01,105.8
2017-01-01,101.2
2017-02-01,101.9
2017-03-01,102.1
2017-04-01,101.8
2017-05-01,102.5
2017-06-01,102.0
2017-07-01,102.3
2017-08-01,102.8
2017-09-01,102.5
2017-10-01,103.1
2017-11-01,104.8
2017-12-01,106.5
2018-01-01,102.5
2018-02-01,102.9
2018-03-01,103.2
2018-04-01,103.0
2018-05-01,103.8
2018-06-01,103.3
2018-07-01,103.5
2018-08-01,104.0
2018-09-01,103.7
2018-10-01,104.5
2018-11-01,106.0
2018-12-01,107.2
2019-01-01,103.8
2019-02-01,104.2
2019-03-01,104.5
2019-04-01,104.1
2019-05-01,104.9
2019-06-01,104.5
2019-07-01,104.8
2019-08-01,105.1
2019-09-01,104.8
2019-10-01,105.3
2019-11-01,106.8
2019-12-01,108.1
2020-01-01,105.2
2020-02-01,105.5
2020-03-01,96.8
2020-04-01,78.2
2020-05-01,85.1
2020-06-01,96.2
2020-07-01,101.5
2020-08-01,103.8
2020-09-01,105.2
2020-10-01,106.1
2020-11-01,98.5
2020-12-01,105.8
2021-01-01,98.2
2021-02-01,97.5
2021-03-01,100.8
2021-04-01,109.2
2021-05-01,108.5
2021-06-01,107.8
2021-07-01,107.2
2021-08-01,106.5
2021-09-01,106.0
2021-10-01,107.1
2021-11-01,108.5
2021-12-01,110.2
2022-01-01,106.5
2022-02-01,107.2
2022-03-01,107.5
2022-04-01,106.8
2022-05-01,106.2
2022-06-01,105.5
2022-07-01,105.0
2022-08-01,104.8
2022-09-01,104.5
2022-10-01,105.2
2022-11-01,106.8
2022-12-01,108.5
2023-01-01,104.5
2023-02-01,105.2
2023-03-01,105.8
2023-04-01,105.5
2023-05-01,105.0
2023-06-01,104.8
2023-07-01,104.2
2023-08-01,104.5
2023-09-01,104.0
2023-10-01,104.8
2023-11-01,106.2
2023-12-01,107.8
2024-01-01,104.8
2024-02-01,105.5
2024-03-01,106.0
2024-04-01,105.2
2024-05-01,106.1
2024-06-01,105.8
2024-07-01,106.0
2024-08-01,106.5
2024-09-01,106.2
2024-10-01,107.0
2024-11-01,108.2
2024-12-01,109.5
